Sr. No.,Type of Measurement,Description (English),Description (Hindi),Description (Kannada),Photo (from PDF),Measurement (Inches)
1,"Shoulder Width – End to End
कंधे की चौड़ाई (छोर से छोर तक)
ಭುಜದ ಅಗಲ (ತುದಿಯಿಂದ ತುದಿಗೆ)","EN: The total width across the top of both shoulders, from the outer bony tip of the left shoulder to the outer bony tip of the right shoulder. It represents the complete shoulder span of the body (both shoulders combined).",हिन्दी · कंधे की चौड़ाई (छोर से छोर तक): दोनों कंधों के ऊपर की कुल चौड़ाई — बाएँ कंधे की बाहरी हड्डी वाले सिरे से दाएँ कंधे की बाहरी हड्डी वाले सिरे तक। यह शरीर के पूरे कंधे के फैलाव (दोनों कंधे मिलाकर) को दर्शाता है।,ಕನ್ನಡ · ಭುಜದ ಅಗಲ (ತುದಿಯಿಂದ ತುದಿಗೆ): ಎರಡೂ ಭುಜಗಳ ಮೇಲ್ಭಾಗದ ಒಟ್ಟು ಅಗಲ — ಎಡ ಭುಜದ ಹೊರಗಿನ ಎಲುಬಿನ ತುದಿಯಿಂದ ಬಲ ಭುಜದ ಹೊರಗಿನ ಎಲುಬಿನ ತುದಿಯವರೆಗೆ. ಇದು ದೇಹದ ಪೂರ್ಣ ಭುಜದ ವ್ಯಾಪ್ತಿಯನ್ನು (ಎರಡೂ ಭುಜಗಳನ್ನು ಸೇರಿಸಿ) ಸೂಚಿಸುತ್ತದೆ.,,
2,"Shoulder Right
दायाँ कंधा
ಬಲ ಭುಜ","EN: The length of the right shoulder only — the distance from the base of the neck (the neck-shoulder point) to the outer bony tip of the right shoulder. It represents half of the total shoulder span, right side.",हिन्दी · दायाँ कंधा: केवल दाएँ कंधे की लंबाई — गर्दन के आधार (गर्दन-कंधा बिंदु) से दाएँ कंधे की बाहरी हड्डी वाले सिरे तक की दूरी। यह कुल कंधे के फैलाव का आधा हिस्सा (दायाँ भाग) दर्शाता है।,ಕನ್ನಡ · ಬಲ ಭುಜ: ಬಲ ಭುಜದ ಮಾತ್ರ ಉದ್ದ — ಕುತ್ತಿಗೆಯ ಬುಡದಿಂದ (ಕುತ್ತಿಗೆ-ಭುಜ ಬಿಂದು) ಬಲ ಭುಜದ ಹೊರಗಿನ ಎಲುಬಿನ ತುದಿಯವರೆಗಿನ ಅಂತರ. ಇದು ಒಟ್ಟು ಭುಜದ ವ್ಯಾಪ್ತಿಯ ಅರ್ಧ ಭಾಗವನ್ನು (ಬಲ ಬದಿ) ಸೂಚಿಸುತ್ತದೆ.,,
3,"Shoulder Left
बायाँ कंधा
ಎಡ ಭುಜ","EN: The length of the left shoulder only — the distance from the base of the neck (the neck-shoulder point) to the outer bony tip of the left shoulder. It represents half of the total shoulder span, left side.",हिन्दी · बायाँ कंधा: केवल बाएँ कंधे की लंबाई — गर्दन के आधार (गर्दन-कंधा बिंदु) से बाएँ कंधे की बाहरी हड्डी वाले सिरे तक की दूरी। यह कुल कंधे के फैलाव का आधा हिस्सा (बायाँ भाग) दर्शाता है।,ಕನ್ನಡ · ಎಡ ಭುಜ: ಎಡ ಭುಜದ ಮಾತ್ರ ಉದ್ದ — ಕುತ್ತಿಗೆಯ ಬುಡದಿಂದ (ಕುತ್ತಿಗೆ-ಭುಜ ಬಿಂದು) ಎಡ ಭುಜದ ಹೊರಗಿನ ಎಲುಬಿನ ತುದಿಯವರೆಗಿನ ಅಂತರ. ಇದು ಒಟ್ಟು ಭುಜದ ವ್ಯಾಪ್ತಿಯ ಅರ್ಧ ಭಾಗವನ್ನು (ಎಡ ಬದಿ) ಸೂಚಿಸುತ್ತದೆ.,,
4,"Arm Hole Round Right
दायाँ आर्महोल घेरा
ಬಲ ತೋಳಿನ ರಂಧ್ರದ ಸುತ್ತಳತೆ",EN: The full circumference of the right armhole — the closed loop around the base of the right arm where the arm joins the torso (over the shoulder tip and under the armpit). It represents the size of the opening the sleeve is stitched into on the right side.,हिन्दी · दायाँ आर्महोल घेरा: दाएँ आर्महोल का पूरा घेरा — दाएँ बाँह के आधार के चारों ओर का बंद घेरा जहाँ बाँह धड़ से जुड़ती है (कंधे के सिरे के ऊपर से और बगल के नीचे से)। यह उस छेद के आकार को दर्शाता है जिसमें दाईं ओर आस्तीन सिली जाती है।,ಕನ್ನಡ · ಬಲ ತೋಳಿನ ರಂಧ್ರದ ಸುತ್ತಳತೆ: ಬಲ ತೋಳಿನ ರಂಧ್ರದ ಪೂರ್ಣ ಸುತ್ತಳತೆ — ತೋಳು ಮುಂಡಕ್ಕೆ ಸೇರುವ ಬಲ ತೋಳಿನ ಬುಡದ ಸುತ್ತಲಿನ ಮುಚ್ಚಿದ ವೃತ್ತ (ಭುಜದ ತುದಿಯ ಮೇಲಿಂದ ಮತ್ತು ಕಂಕುಳಿನ ಕೆಳಗಿಂದ). ಇದು ಬಲ ಬದಿಯಲ್ಲಿ ತೋಳನ್ನು ಹೊಲಿಯುವ ರಂಧ್ರದ ಗಾತ್ರವನ್ನು ಸೂಚಿಸುತ್ತದೆ,,
5,"Arm Hole Round Left
बायाँ आर्महोल घेरा
ಎಡ ತೋಳಿನ ರಂಧ್ರದ ಸುತ್ತಳತೆ",EN: The full circumference of the left armhole — the closed loop around the base of the left arm where the arm joins the torso (over the shoulder tip and under the armpit). It represents the size of the opening the sleeve is stitched into on the left side.,हिन्दी · बायाँ आर्महोल घेरा: बाएँ आर्महोल का पूरा घेरा — बाएँ बाँह के आधार के चारों ओर का बंद घेरा जहाँ बाँह धड़ से जुड़ती है (कंधे के सिरे के ऊपर से और बगल के नीचे से)। यह उस छेद के आकार को दर्शाता है जिसमें बाईं ओर आस्तीन सिली जाती है।,ಕನ್ನಡ · ಎಡ ತೋಳಿನ ರಂಧ್ರದ ಸುತ್ತಳತೆ: ಎಡ ತೋಳಿನ ರಂಧ್ರದ ಪೂರ್ಣ ಸುತ್ತಳತೆ — ತೋಳು ಮುಂಡಕ್ಕೆ ಸೇರುವ ಎಡ ತೋಳಿನ ಬುಡದ ಸುತ್ತಲಿನ ಮುಚ್ಚಿದ ವೃತ್ತ (ಭುಜದ ತುದಿಯ ಮೇಲಿಂದ ಮತ್ತು ಕಂಕುಳಿನ ಕೆಳಗಿಂದ). ಇದು ಎಡ ಬದಿಯಲ್ಲಿ ತೋಳನ್ನು ಹೊಲಿಯುವ ರಂಧ್ರದ ಗಾತ್ರವನ್ನು ಸೂಚಿಸುತ್ತದೆ.,,
6,"Shoulder Strap Right
दायाँ कंधा पट्टी
ಬಲ ಭುಜದ ಪಟ್ಟಿ",EN: The width of the fabric strap resting on top of the right shoulder — the span between the neckline edge and the armhole seam on the right side. It represents how broad the shoulder strap of the blouse is on the right.,हिन्दी · दायाँ कंधा पट्टी: दाएँ कंधे के ऊपर टिकी कपड़े की पट्टी की चौड़ाई — दाईं ओर गले की किनार और आर्महोल सीवन के बीच की दूरी। यह दर्शाता है कि दाईं ओर ब्लाउज की कंधा पट्टी कितनी चौड़ी है।,ಕನ್ನಡ · ಬಲ ಭುಜದ ಪಟ್ಟಿ: ಬಲ ಭುಜದ ಮೇಲೆ ಇರುವ ಬಟ್ಟೆಯ ಪಟ್ಟಿಯ ಅಗಲ — ಬಲ ಬದಿಯ ಕುತ್ತಿಗೆಯ ಅಂಚಿನ ಮತ್ತು ತೋಳಿನ ರಂಧ್ರದ ಹೊಲಿಗೆಯ ನಡುವಿನ ಅಂತರ. ಇದು ಬಲ ಬದಿಯಲ್ಲಿ ರವಿಕೆಯ ಭುಜದ ಪಟ್ಟಿ ಎಷ್ಟು ಅಗಲವಿದೆ ಎಂಬುದನ್ನು ಸೂಚಿಸುತ್ತದೆ.,,
7,"Shoulder Strap Left
बायाँ कंधा पट्टी
ಎಡ ಭುಜದ ಪಟ್ಟಿ",EN: The width of the fabric strap resting on top of the left shoulder — the span between the neckline edge and the armhole seam on the left side. It represents how broad the shoulder strap of the blouse is on the left.,हिन्दी · बायाँ कंधा पट्टी: बाएँ कंधे के ऊपर टिकी कपड़े की पट्टी की चौड़ाई — बाईं ओर गले की किनार और आर्महोल सीवन के बीच की दूरी। यह दर्शाता है कि बाईं ओर ब्लाउज की कंधा पट्टी कितनी चौड़ी है।,ಕನ್ನಡ · ಎಡ ಭುಜದ ಪಟ್ಟಿ: ಎಡ ಭುಜದ ಮೇಲೆ ಇರುವ ಬಟ್ಟೆಯ ಪಟ್ಟಿಯ ಅಗಲ — ಎಡ ಬದಿಯ ಕುತ್ತಿಗೆಯ ಅಂಚಿನ ಮತ್ತು ತೋಳಿನ ರಂಧ್ರದ ಹೊಲಿಗೆಯ ನಡುವಿನ ಅಂತರ. ಇದು ಎಡ ಬದಿಯಲ್ಲಿ ರವಿಕೆಯ ಭುಜದ ಪಟ್ಟಿ ಎಷ್ಟು ಅಗಲವಿದೆ ಎಂಬುದನ್ನು ಸೂಚಿಸುತ್ತದೆ.,,
8,"Shoulder to Apex
कंधे से एपेक्स (उभार बिंदु) तक
ಭುಜದಿಂದ ಎಪೆಕ್ಸ್ (ಉಬ್ಬಿನ ಬಿಂದು)ವರೆಗೆ","EN: The vertical distance from a point on the shoulder that sits directly above the apex, straight down the front of the body to the apex — the apex being the highest, most-forward point of the bust (the bust point / nipple point). It represents how far the bust point sits below the shoulder line.",हिन्दी · कंधे से एपेक्स (उभार बिंदु) तक: कंधे पर उस बिंदु से — जो सीधे एपेक्स के ऊपर होता है — शरीर के सामने की ओर सीधे नीचे एपेक्स तक की ऊर्ध्वाधर दूरी। एपेक्स वक्ष का सबसे ऊँचा और सबसे आगे का बिंदु (बस्ट पॉइंट / निप्पल बिंदु) होता है। यह दर्शाता है कि बस्ट पॉइंट कंधे की रेखा से कितना नीचे है।,"ಕನ್ನಡ · ಭುಜದಿಂದ ಎಪೆಕ್ಸ್ (ಉಬ್ಬಿನ ಬಿಂದು)ವರೆಗೆ: ಎಪೆಕ್ಸ್‌ನ ನೇರ ಮೇಲಿರುವ ಭುಜದ ಬಿಂದುವಿನಿಂದ, ದೇಹದ ಮುಂಭಾಗದಲ್ಲಿ ನೇರವಾಗಿ ಕೆಳಗೆ ಎಪೆಕ್ಸ್‌ವರೆಗಿನ ಲಂಬ ಅಂತರ — ಎಪೆಕ್ಸ್ ಎಂದರೆ ಎದೆಯ ಅತ್ಯುನ್ನತ ಮತ್ತು ಅತಿ ಮುಂದಿನ ಬಿಂದು (ಬಸ್ಟ್ ಪಾಯಿಂಟ್ / ಮೊಲೆತೊಟ್ಟಿನ ಬಿಂದು). ಇದು ಬಸ್ಟ್ ಪಾಯಿಂಟ್ ಭುಜದ ರೇಖೆಯಿಂದ ಎಷ್ಟು ಕೆಳಗಿದೆ ಎಂಬುದನ್ನು ಸೂಚಿಸುತ್ತದೆ.",,
9,"Front Depth
सामने की गहराई (गला)
ಮುಂಭಾಗದ ಆಳ (ಕುತ್ತಿಗೆ)","EN: The depth of the front neckline — the vertical drop from the neck-shoulder point down the center front to the lowest point of the front neck opening. A larger value means a deeper, lower-cut front neck.","हिन्दी · सामने की गहराई (गला): सामने के गले की गहराई — गर्दन-कंधा बिंदु से बीच में सीधे नीचे सामने के गले के सबसे निचले बिंदु तक की ऊर्ध्वाधर दूरी। बड़ा मान अधिक गहरे, नीचे कटे सामने के गले को दर्शाता है।","ಕನ್ನಡ · ಮುಂಭಾಗದ ಆಳ (ಕುತ್ತಿಗೆ): ಮುಂಭಾಗದ ಕುತ್ತಿಗೆಯ ಆಳ — ಕುತ್ತಿಗೆ-ಭುಜ ಬಿಂದುವಿನಿಂದ ಮಧ್ಯ ಮುಂಭಾಗದಲ್ಲಿ ಕೆಳಗೆ ಮುಂಭಾಗದ ಕುತ್ತಿಗೆ ತೆರೆಯುವಿಕೆಯ ಅತಿ ಕೆಳಗಿನ ಬಿಂದುವಿನವರೆಗಿನ ಲಂಬ ಅಂತರ. ದೊಡ್ಡ ಮೌಲ್ಯ ಎಂದರೆ ಆಳವಾದ, ಕೆಳಗೆ ಕತ್ತರಿಸಿದ ಮುಂಭಾಗದ ಕುತ್ತಿಗೆ.",,
10,"Front Length
सामने की लंबाई
ಮುಂಭಾಗದ ಉದ್ದ","EN: The full length of the blouse front — the vertical distance from the point where the neck meets the shoulder at the front (where the collarbones meet, at the base of the throat), straight down past the bust to the bottom-most edge of the blouse at the front. It represents the total height of the front panel.","हिन्दी · सामने की लंबाई: ब्लाउज के सामने की पूरी लंबाई — सामने जहाँ गर्दन कंधे से मिलती है (जहाँ हँसली की हड्डियाँ मिलती हैं, गले के आधार पर) उस बिंदु से सीधे नीचे वक्ष को पार करते हुए सामने ब्लाउज के सबसे निचले किनारे तक की ऊर्ध्वाधर दूरी। यह सामने के पैनल की कुल ऊँचाई को दर्शाता है।","ಕನ್ನಡ · ಮುಂಭಾಗದ ಉದ್ದ: ರವಿಕೆಯ ಮುಂಭಾಗದ ಪೂರ್ಣ ಉದ್ದ — ಮುಂಭಾಗದಲ್ಲಿ ಕುತ್ತಿಗೆ ಭುಜವನ್ನು ಸೇರುವ ಬಿಂದುವಿನಿಂದ (ಕಂಠದ ಬುಡದಲ್ಲಿ, ಕಂಠಮಣಿ ಎಲುಬುಗಳು ಸೇರುವಲ್ಲಿ) ನೇರವಾಗಿ ಎದೆಯನ್ನು ದಾಟಿ ಮುಂಭಾಗದಲ್ಲಿ ರವಿಕೆಯ ಅತಿ ಕೆಳಗಿನ ಅಂಚಿನವರೆಗಿನ ಲಂಬ ಅಂತರ. ಇದು ಮುಂಭಾಗದ ಫಲಕದ ಒಟ್ಟು ಎತ್ತರವನ್ನು ಸೂಚಿಸುತ್ತದೆ.",,
